,ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
527836,336.0,267.0,53.0,1648.0,1555,810,285.0,,0,0.0,6,22,2.0,812.0,IAD,2253.0,0,918,0.0,1,53.0,SAN,0.0,N523UA,10.0,59.0,UA,0.0,2005
527859,143.0,116.0,9.0,2047.0,2038,1825,133.0,,0,0.0,1,31,-1.0,1824.0,IAD,810.0,0,1578,0.0,1,0.0,TPA,0.0,N440UA,12.0,15.0,UA,0.0,2005
527862,328.0,286.0,16.0,1611.0,1555,750,305.0,,0,0.0,4,20,-7.0,743.0,IAD,2408.0,0,222,0.0,1,16.0,OAK,0.0,N429UA,30.0,12.0,UA,0.0,2005
528027,104.0,80.0,-7.0,955.0,1002,815,107.0,,0,0.0,3,26,-4.0,811.0,IAD,533.0,0,1044,0.0,1,0.0,ATL,0.0,N919DE,5.0,19.0,DL,0.0,2005
528043,,,,,2139,1835,124.0,,0,0.0,3,12,-7.0,1828.0,IAD,589.0,1,1175,0.0,1,0.0,ORD,0.0,N679BR,0.0,19.0,DH,0.0,2005
528111,89.0,73.0,-12.0,2214.0,2226,2055,91.0,,0,0.0,7,23,-10.0,2045.0,IAD,441.0,0,1618,0.0,1,0.0,CHS,0.0,N687BR,8.0,7.0,DH,0.0,2005
528127,144.0,124.0,21.0,1844.0,1823,1549,154.0,,0,4.0,7,9,31.0,1620.0,IAD,921.0,0,2268,17.0,1,0.0,MIA,0.0,N475AA,7.0,13.0,AA,0.0,2005
528184,,,,,814,650,84.0,B,1,0.0,1,24,,,IAD,228.0,0,1075,0.0,1,0.0,JFK,0.0,N680BR,0.0,0.0,DH,0.0,2005
528277,71.0,43.0,-11.0,1032.0,1043,930,73.0,,0,0.0,1,3,-9.0,921.0,IAD,288.0,0,1832,0.0,1,0.0,CLE,0.0,N703BR,6.0,21.0,DH,0.0,2005
528320,117.0,103.0,-22.0,1116.0,1138,925,133.0,,0,0.0,3,12,-6.0,919.0,IAD,810.0,0,1572,0.0,1,0.0,TPA,0.0,N487UA,3.0,11.0,UA,0.0,2005
528334,184.0,154.0,18.0,2139.0,2121,1738,163.0,,0,0.0,2,18,-3.0,1735.0,IAD,1172.0,0,1962,0.0,1,18.0,DFW,0.0,N569AA,10.0,20.0,AA,0.0,2005
528353,91.0,76.0,-14.0,1211.0,1225,1045,100.0,,0,0.0,3,12,-5.0,1040.0,IAD,372.0,0,1636,0.0,1,0.0,PVD,0.0,N650BR,5.0,10.0,DH,0.0,2005
528358,,,,,1718,1600,78.0,C,1,0.0,4,6,,,IAD,213.0,0,2419,0.0,1,0.0,EWR,0.0,0,0.0,0.0,XE,0.0,2005
528365,59.0,40.0,-20.0,1609.0,1629,1520,69.0,,0,0.0,2,25,-10.0,1510.0,IAD,157.0,0,1770,0.0,1,0.0,ORF,0.0,N658BR,3.0,15.0,DH,0.0,2005
528371,273.0,250.0,-5.0,2342.0,2347,1610,277.0,,0,0.0,7,2,-1.0,1609.0,IAD,2288.0,0,202,0.0,1,0.0,LAX,0.0,N839UA,6.0,17.0,UA,0.0,2005
528458,248.0,414.0,-28.0,442.0,510,2130,280.0,,0,0.0,4,6,4.0,2134.0,IAD,2277.0,0,255,0.0,1,0.0,LGB,0.0,N533JB,4.0,10.0,B6,0.0,2005
528464,145.0,39.0,110.0,2005.0,1815,1700,75.0,,0,0.0,3,19,40.0,1740.0,IAD,213.0,0,2752,0.0,1,110.0,EWR,0.0,N14945,14.0,92.0,XE,0.0,2005
528478,62.0,44.0,-6.0,1535.0,1541,1430,71.0,,0,0.0,2,18,3.0,1433.0,IAD,183.0,0,1232,0.0,1,0.0,PIT,0.0,N650BR,5.0,12.0,DH,0.0,2005
528526,106.0,77.0,-4.0,1311.0,1315,1135,100.0,,0,0.0,3,12,-10.0,1125.0,IAD,418.0,0,1876,0.0,1,0.0,MHT,0.0,N622BR,6.0,23.0,DH,0.0,2005
528535,174.0,149.0,1.0,1543.0,1542,1140,182.0,,0,0.0,3,5,9.0,1149.0,IAD,1172.0,0,1266,0.0,1,0.0,DFW,0.0,N304UA,6.0,19.0,UA,0.0,2005
528638,83.0,46.0,5.0,1953.0,1948,1830,78.0,,0,0.0,5,21,0.0,1830.0,IAD,213.0,0,3237,0.0,1,0.0,EWR,0.0,N13903,7.0,30.0,XE,0.0,2005
528671,285.0,257.0,117.0,1837.0,1640,850,290.0,,0,117.0,2,4,122.0,1052.0,IAD,2288.0,0,361,0.0,1,0.0,LAX,0.0,N813AW,20.0,8.0,HP,0.0,2005
528727,100.0,66.0,21.0,1733.0,1712,1525,107.0,,0,0.0,5,28,28.0,1553.0,IAD,413.0,0,1130,21.0,1,0.0,BOS,0.0,N660BR,3.0,31.0,DH,0.0,2005
528768,80.0,66.0,-4.0,2035.0,2039,1905,94.0,,0,0.0,1,17,10.0,1915.0,IAD,326.0,0,373,0.0,1,0.0,BDL,0.0,N904UA,5.0,9.0,UA,0.0,2005
